name,organization_name,membership_label,description,timespan
НЕФЬОДОВ Владислав Леонідович,Старокостянтинівська районна державна адміністрація Хмельницької області,"головний спеціаліст з питань діяльності правоохоронних органів, оборонно-мобілізаційної та режимно-секретної роботи апарату Старокостянтинівської районної державної адміністрації Хмельницької області","Розпорядження Старокостянтинівської районної державної адміністрації Хмельницької області від 05.11. 2014 
№ 182/2014-р/к",10 років
ПЕТРЕНКО Юрій Анатолійович,Служба безпеки України,заступник начальника управління - начальник відділу,Наказ Служби безпеки України від   жовтня 2014 року  №,10 років
НЕСТЕРЕНКО Володимир Олексійович,Волноваська районна державна адміністрація Донецької області,Голова Волноваської районної державної адміністрації Донецької області,Розпорядження Президента України від 30.10.2014 № 1205/2014-рп,10 років
РИБАКОВСЬКА Світлана Олександрівна,Горлівське міське управління юстиції  Донецької області,заступник начальника Горлівського міського управління юстиції  Донецької області,Наказ Міністерства юстиції України від 25 листопада 2014 року №2542/к,10 років
РУДЬ Віктор Володимирович,Державна податкова інспекція у місті Чернівцях Головного управління Міндоходів у Чернівецькій області,начальник управління інформаційних технологій та обліку платників ДНІ у м. Чернівцях ГУ Міндоходів у Чернівецькій області,Наказ Державної податкової інспекції у місті Чернівцях Головного управління Міндоходів у Чернівецькій області від 24 жовтня 2014 року № 135-о,10 років
ІЛЬНИЦЬКИЙ Ігор Васильович,прокуратура Херсонської області,заступник прокурора Херсонської області,Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 1478к,10 років
ІВАНІЩЕВ Олег Валерійович,прокуратура Кіровоградської області,прокурор Кіровоградського району Кіровоградської області,Наказ Генеральної Прокуратури України від 23.10.2014 № 1459к,10 років
ЯСЬ Олександр Олексійович,прокуратура Чернігівської області,заступник прокурора Чернігівської області,Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 1487к,10 років
МАЛЬОВАНИЙ Олександр Миколайович,Управління МВС України в Сумській області,заступник начальника Управління МВС України в Сумській області – начальник міліції громадської безпеки,Наказ Міністерства внутрішніх справ України від 27.10.2014 № 2239 о/с,10 років
ГРИЦАЙ Сергій Михайлович,Пенсійний фонд України в Сумській області,начальник головного управління Пенсійного фонду України в Сумській області,Наказ Пенсійного фонду України від 27 жовтня 2014 року № 320-о,10 років
ДЕНИСЮК Олексій Дмитрович,Генеральна прокуратура України,"начальник Головного управління захисту прав і свобод громадян та інтересів держави, протидії корупції та злочинності у сфері транспорту Генеральної прокуратури України",Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 2491-ц,10 років
ПАНЬКО Василь Федорович,Старобешівська районна державної адміністрації Донецької області,голови Старобешівської районної державної адміністрації Донецької області,Розпорядження Президента України від 30.10.2014 № 1214/2014-рп,10 років
БОСНЕНКО Віталій Борисович,ГУ Міндоходів у Кіровоградській області,заступник начальника оперативного управління Головного управління Міндоходів у Кіровоградській області,Наказ Міністерства доходів і зборів України від 29.10.2014 № 2169-о,10 років
ЯЦЮК Андрій Віталійович,Південна митниця Міністерства доходів і зборів України,начальник другого оперативного відділу оперативного управління боротьби з контрабандою та митними правопорушеннями Південної митниці Міністерства доходів і зборів України,Наказ Міністерства доходів і зборів України від 29.10.2014 № 2172-о,10 років
ЯЦЮК Михайло Васильович,Державне агентство водних ресурсів України,перший заступник Голови Державного агентства водних ресурсів України,Розпорядження Кабінету Міністрів України від 16 жовтня 2014 року  № 973-р,10 років
КОЛІСНИК Анатолій Іванович,Генеральна прокуратура України,"старший прокурор другого наглядового відділу  за додержанням законів при провадженні досудового розслідовання та підтриманням державного обвинувачення управління нагляду за додержанням законів органами, внутрішніх справ  Головного управління нагляду у кримінальному провадженні Генеральної прокуратури України",Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 2531-ц,10 років
ГУЛЯНИЦЬКИЙ Олександр Валерійович,Служба безпеки України,офіцер діючого резерву,Наказ Служби безпеки України від   жовтня 2014 року  №,10 років
СУХІНА Вадим Миколайович,Приазовська районна державної адміністрації Запорізької області,голова Приазовської районної державної адміністрації Запорізької області,Розпорядження Президента України від 30.10.2014 № 1217/2014-рп,10 років
КОРОЛЬ Петро Іванович,Служба безпеки України,перший заступник начальника управління,Наказ Служби безпеки України від   жовтня 2014 року  №,10 років
ЗАНФІРОВ Максим Вікторович,Прокуратура Одеської області,заступник прокурора Одеської області,Наказ Генеральної Прокуратури України від 23.10.2014 № 1465к,10 років
ЛЮБАРЕЦЬ Олександр Васильович,Управління МВС України в Чернігівській області,перший заступник начальника Управління МВС України в Чернігівській області – начальник слідчого управління,Наказ Міністерства внутрішніх справ України від 27.10.2014 № 2239 о/с,10 років
ГУСАРОВ Олександр Сергійович,Печенізька районна державна адміністрація Харківської області,голова Печенізької районної державної адміністрації Харківської області,Розпорядження Президента України від 30.10.2014 № 1228/2014-рп,10 років
ЧОРНИЙ Анатолій Григорович,Служба безпеки України,перший заступник начальника управління,Наказ Служби безпеки України від   жовтня 2014 року  №,10 років
КОЛЄСНІК Микола Анатолійович,Служба безпеки України,заступник начальника управління - начальник головного відділу,Наказ Служби безпеки України від   жовтня 2014 року  №,10 років
КУЧЕРУК Михайло Миколайович,Служба безпеки України,перший заступник начальника  управління,Наказ Служби безпеки України від   жовтня 2014 року  №,10 років
НАЗАРУК Олег Васильович,Служба безпеки України,заступник начальника управління - начальник відділу,Наказ Служби безпеки України від   жовтня 2014 року  №,10 років
ТИМОФЄЄВ Євгеній Миколайович,Управління МВС України в Херсонській області,перший заступник начальника Управління МВС України в Херсонській області – начальник слідчого управління,наказ Міністерства внутрішніх справ України від 27.10.2014 2239о/с,10 років
БОРОДАЙ Тетяна Жоржівна,Великобілозерська районна державної адміністрації Запорізької області,голова Великобілозерської районної державної адміністрації Запорізької області,Розпорядження Президента України від 30.10.2014 № 1214/2014-рп,10 років
ЩИРУК Микола Олександрович,Міністерство внутрішніх справ України,перебував в розпорядженні МВС України за посадою начальника Управління МВС України в Рівненській області,Наказ Міністерства внутрішніх справ України від 17 грудня 2014 року № 2602 о/с,10 років
ДВОРНИК Анатолій Анатолійович,Генеральна прокуратура України,перший заступник начальника управління процесуального керівництва у кримінальних провадженнях Генеральної прокуратури України,Наказ Генеральної прокуратури України від 01 грудня 2014 року № 2719у,10 років
НЕДІЛЬСЬКИЙ Володимир Володимирович,Національної академії внутрішніх справ,науковий співробітник наукової лабораторії з проблем громадської безпеки навчально-наукового інституту підготовки працівників для підрозділів міліції громадської безпеки та Національної гвардії України Національної академії внутрішніх справ,Наказ  Міністерства внутрішніх справ України від 28.10.2014 № 2253 о/с,10 років
ПРИХОДЬКО Борис Вікторович,"Національний банк України,",заступник Голови Національного банку України;,Наказ Національного банку України від 22.10.2014 № 1827-к,10 років
КУЧЕРУК Микола Васильович,Головне управління Міндоходів у Хмельницькій області,заступник начальника оперативного управління Головного управління Міндоходів у Хмельницькій області,Наказ Міністерства доходів і зборів України від 29.10.2014 № 2170-о,10 років
ЛІСНЯК Олександр Федорович,Чернігівська районна державна адміністрація Запорізької області,голова Чернігівської районної державної адміністрації Запорізької області,Розпорядження Президента України від 30.10.2014 № 1219/2014-рп,10 років
КУЛАКОВ Руслан Анатолійович,Служба безпеки України,офіцер діючого резерву,Наказ Служби безпеки України від   жовтня 2014 року  №,10 років
ЛІУШ Ігор Іванович,прокуратура Львівської області,"начальник відділу нагляду за додержанням законів при виконанні судових рішень у кримінальних провадженнях, а також при застосуванні інших заходів примусового характеру, пов’язаних з обмеженням особистої свободи громадян прокуратури Львівської області",Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 1498к,10 років
ДЕНИСЕНКО Сергій Олександрович,Генеральна прокуратура України,"перший заступник начальника управління нагляду за додержанням законів органами Служби безпеки України, Державної митної служби та Державної прикордонної служби України Головного управління нагляду у кримінальному провадженні Генеральної прокуратури України",Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 2507-ц,10 років
КОНДРАТЮК Анатолій Володимирович,Департамент економічного розвитку Полтавської облдержадміністрації,"Департамент економічного розвитку Полтавської облдержадміністрації, директор.",Наказ Прокуратури Житомирської області від 23.10.2014 № 421к,10 років
ЦИМБАЛ Юрій Іванович,Генеральна прокуратура України,"старший прокурор відділу захисту фінансово-економічних інтересів держави управління захисту прав і свобод громадян та інтересів держави  Головного управління захисту прав і свобод громадян, інтересів держави, нагляду за додержанням законів спецпідрозділами та іншими органами, які ведуть боротьбу з організованою злочинністю і корупцією Генеральної прокуратури України",Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 2532-ц,10 років
СИДОРЕНКО Олег Валерійович,Новоазовська районна державної адміністрації Донецької області,голова Новоазовської районної державної адміністрації Донецької області,Розпорядження Президента України від 30.10.2014 № 1209/2014-рп,10 років
САЛІХОВ Олег Маратович,Служба безпеки України,офіцер діючого резерву,Наказ Служби безпеки України від   жовтня 2014 року  №,10 років
МІРОШНИЧЕНКО Сергій Сергійович,Національна академія прокуратури України,директор Інституту підвищення кваліфікації кадрів Національної академії прокуратури України,Наказ Національної академії прокуратури України від 24.10.2014 № 1001-к,10 років
ШИЛКО Андрій Сергійович,Служба безпеки України,заступник начальника управління - начальник відділу,Наказ Служби безпеки України від   жовтня 2014 року  №,10 років
БІЛОУС Віталій Владиславович,Національна академія прокуратури України,головний науковий співробітник відділу досліджень проблем злочинності в економічній сфері Науково-дослідного інституту Національної академії прокуратури України,Наказ Національної академії прокуратури України від 24.10.2014 № 1000-к,10 років
АРТЕМЕНКО Артур Миколайович,Збройні Сили України.,начальник штабу – перший заступник командувача Повітряних Сил Збройних Сил України.,Наказ Міністра оборони України від 25.10.2014 № 647,10 років
ЄФРЕМОВ Валерій Борисович,Головне управління МВС України в Донецькій області,начальник Червоногвардійського районного відділу Макіївського міського управління Головного управління МВС України в Донецькій області,Наказ  Міністерства внутрішніх справ України від 28.10.2014 № 2253 о/с,10 років
САДАКЛІЄВ Михайло Михайлович,Болградська районна державна адміністрація Одеської області,голова Болградської районної державної адміністрації Одеської області,Розпорядження Президента України від 30.10.2014 № 1223/2014-рп,10 років
СТАШУК Василь Андрійович,Державне агентство водних ресурсів України,Голова Державного агентства водних ресурсів України,Розпорядження Кабінету Міністрів України від 16 жовтня 2014 року  № 970-р,10 років
ТКАЧУК Сергій Іванович,Служба безпеки України,заступник начальника управління,Наказ Служби безпеки України від   жовтня 2014 року  №,10 років
ЧЕРНЕГА Юрій Олександрович,"Управління МВС України в Миколаївській області,",начальник Науково-дослідного експертно-криміналістичного центру при Управлінні МВС України в Миколаївській області,Наказ  Міністерства внутрішніх справ України від 28.10.2014 № 2253 о/с,10 років
ЖОВНЕР Андрій Олександрович,Секретаріат Кабінету Міністрів України,начальник Управління моніторингу корупціогенних чинників Секретаріату  Кабінету Міністрів України,Витяг з наказу Кабінету Міністрів України від 20 листопада 2014 року № 853-к,10 років
КУЧЕР Олег Григорович,Генеральна прокуратура України,перший заступник начальника Головного управління представництва та організації участі у кримінальному провадженні в суді  Генеральної прокуратур України,Наказ Генеральної прокуратури України від 01 грудня 2014 року № 2715у,10 років
